ticker,open_time,close_time,open_price,close_price,outcome($),duration(minutes),side,closing_reason
EURUSD,1549609380,1549615200,1.1341,1.13264,-1.58,97.0,BUY,signal_opposite
EURUSD,1549615200,1549620840,1.13264,1.13317,-0.65,94.0,SELL,signal_opposite
EURUSD,1549620840,1549629000,1.13317,1.13363,0.34,136.0,BUY,signal_opposite
EURUSD,1549629000,1549630260,1.13363,1.13427,-0.76,21.0,SELL,signal_opposite
EURUSD,1549630260,1549635240,1.13427,1.1342,-0.19,83.0,BUY,signal_opposite
EURUSD,1549635240,1549637400,1.1342,1.13484,-0.76,36.0,SELL,signal_opposite
EURUSD,1549637400,1549637880,1.13484,1.13352,-1.44,8.0,BUY,signal_opposite
EURUSD,1549637880,1549654620,1.13352,1.13256,0.84,279.0,SELL,signal_opposite
EURUSD,1549654620,1549659120,1.13256,1.13209,-0.59,75.0,BUY,signal_opposite
EURUSD,1549659120,1549841700,1.13209,1.13222,-0.35,3043.0,SELL,signal_opposite
EURUSD,1549841700,1549854060,1.13222,1.13227,-0.12,206.0,BUY,signal_opposite
EURUSD,1549854060,1549864080,1.13227,1.13218,-0.03,167.0,SELL,signal_opposite
EURUSD,1549864080,1549871400,1.13218,1.13162,-0.68,122.0,BUY,signal_opposite
EURUSD,1549871400,1549883220,1.13162,1.13074,0.76,197.0,SELL,signal_opposite
EURUSD,1549883220,1549886820,1.13074,1.13096,0.1,60.0,BUY,signal_opposite
EURUSD,1549886820,1549898640,1.13096,1.12991,0.93,197.0,SELL,signal_opposite
EURUSD,1549898640,1549899180,1.12991,1.12856,-1.47,9.0,BUY,signal_opposite
EURUSD,1549899180,1549911120,1.12856,1.12729,1.15,199.0,SELL,signal_opposite
EURUSD,1549911120,1549929780,1.12729,1.12743,-0.03,311.0,BUY,signal_opposite
EURUSD,1549929780,1549934820,1.12743,1.12822,-0.91,84.0,SELL,signal_opposite
EURUSD,1549934820,1549943100,1.12822,1.12806,-0.28,138.0,BUY,signal_opposite
EURUSD,1549943100,1549949400,1.12806,1.12794,-0.0,105.0,SELL,signal_opposite
EURUSD,1549949400,1549957320,1.12794,1.12797,-0.09,132.0,BUY,signal_opposite
EURUSD,1549957320,1549962960,1.12797,1.12709,0.76,94.0,SELL,signal_opposite
EURUSD,1549962960,1549970700,1.12709,1.12758,0.37,129.0,BUY,signal_opposite
EURUSD,1549970700,1549972560,1.12758,1.12808,-0.62,31.0,SELL,signal_opposite
EURUSD,1549972560,1550001360,1.12808,1.13317,4.97,480.0,BUY,signal_opposite
EURUSD,1550001360,1550012460,1.13317,1.13315,-0.1,185.0,SELL,signal_opposite
EURUSD,1550012460,1550015580,1.13315,1.13326,-0.01,52.0,BUY,signal_opposite
EURUSD,1550015580,1550023440,1.13326,1.13368,-0.59,131.0,SELL,signal_opposite
EURUSD,1550023440,1550034000,1.13368,1.13345,-0.35,176.0,BUY,signal_opposite
EURUSD,1550034000,1550037360,1.13345,1.1339,-0.57,56.0,SELL,signal_opposite
EURUSD,1550037360,1550040000,1.1339,1.13318,-0.84,44.0,BUY,signal_opposite
EURUSD,1550040000,1550046780,1.13318,1.13252,0.54,113.0,SELL,signal_opposite
EURUSD,1550046780,1550052000,1.13252,1.13177,-0.87,87.0,BUY,signal_opposite
EURUSD,1550052000,1550059020,1.13177,1.13217,-0.52,117.0,SELL,signal_opposite
EURUSD,1550059020,1550061840,1.13217,1.13128,-1.01,47.0,BUY,signal_opposite
EURUSD,1550061840,1550070060,1.13128,1.13004,1.12,137.0,SELL,signal_opposite
EURUSD,1550070060,1550072880,1.13004,1.12898,-1.18,47.0,BUY,signal_opposite
EURUSD,1550072880,1550101560,1.12898,1.12622,2.64,478.0,SELL,signal_opposite
EURUSD,1550101560,1550106180,1.12622,1.1262,-0.19,77.0,BUY,signal_opposite
EURUSD,1550106180,1550113200,1.1262,1.12747,-1.39,117.0,SELL,signal_opposite
EURUSD,1550113200,1550124780,1.12747,1.12753,-0.06,193.0,BUY,signal_opposite
EURUSD,1550124780,1550127660,1.12753,1.12891,-1.5,48.0,SELL,signal_opposite
EURUSD,1550127660,1550131560,1.12891,1.12733,-1.7,65.0,BUY,signal_opposite
EURUSD,1550131560,1550138460,1.12733,1.12744,-0.23,115.0,SELL,signal_opposite
EURUSD,1550138460,1550156640,1.12744,1.12877,1.21,303.0,BUY,signal_opposite
EURUSD,1550156640,1550166600,1.12877,1.12954,-0.89,166.0,SELL,signal_opposite
